state,Date,Sample,Population,MOE,Dem,Rep,Other,Undecided,Base,pdem,prep,,,
GA,11/1/22,700,3953408,0.037,47,49,2,2,96,0.489583333,0.510416667,,,
GA,10/31/22,1000,3953408,0.03,46,52,2,0,98,0.469387755,0.530612245,,,
GA,10/31/22,762,3953408,0.036,46,52,2,0,98,0.469387755,0.530612245,,,
GA,10/30/22,1002,3953408,0.03,44,49,4,3,93,0.47311828,0.52688172,,,
HI,11/8/22,,411159,0.03,62,38,0,0,100,0.62,0.38,,,
ID,11/8/22,,592557,0.01,38,60,2,0,98,0.387755102,0.612244898,,,
IL,11/7/22,1208,4104636,0.028,49,42,5,4,91,0.538461538,0.461538462,,,
IL,11/6/22,450,4104636,0.046,56,37,2,5,93,0.602150538,0.397849462,,,
IL,10/25/22,659,4104636,0.043,56,39,3,2,95,0.589473684,0.410526316,,,
IL,10/24/22,1000,4104636,0.03,50,41,5,4,91,0.549450549,0.450549451,,,
IL,10/24/22,1000,4104636,0.03,52,42,6,0,94,0.553191489,0.446808511,,,
IL,10/25/22,1000,4104636,0.035,55,40,5,0,95,0.578947368,0.421052632,,,
IL,10/15/22,600,4104636,0.04,44,42,4,10,86,0.511627907,0.488372093,,,
IL,10/11/22,770,4104636,0.035,49,34,8,9,83,0.590361446,0.409638554,,,
IL,10/11/22,1000,4104636,0.031,50,28,10,12,78,0.641025641,0.358974359,,,
IA,11/3/22,801,1220864,0.035,37,54,6,3,91,0.406593407,0.593406593,,,54
IA,10/27/22,600,1220864,0.04,38,57,0,5,95,0.4,0.6,,,57
IA,10/25/22,623,1220864,0.052,42,54,2,2,96,0.4375,0.5625,,,54
IA,10/19/22,600,1220864,0.041,39,56,0,5,95,0.410526316,0.589473684,,,56
IA,10/12/22,620,1220864,0.039,35,52,8,5,87,0.402298851,0.597701149,,,52
IA,10/4/22,959,1220864,0.031,36,54,3,7,90,0.4,0.6,,,54
IA,10/4/22,600,1220864,0.04,38,59,0,3,97,0.391752577,0.608247423,,,59
KS,10/29/22,1000,1008998,0.03,46,43,7,4,89,0.516853933,0.483146067,,,
KS,10/29/22,1000,1008998,0.03,49,44,7,0,93,0.52688172,0.47311828,,,
KS,10/12/22,500,1008998,0.04,38,37,7,18,75,0.506666667,0.493333333,,,
KS,9/18/22,1000,1008998,0.03,45,43,4,8,88,0.511363636,0.488636364,,,
KS,9/7/22,392,1008998,0.075,53,41,0,6,94,0.563829787,0.436170213,,,
KS,8/10/22,1074,1008998,0.03,45,48,2,5,93,0.483870968,0.516129032,,,
ME,11/6/22,922,676819,0.032,52,44,2,2,96,0.541666667,0.458333333,,,
ME,11/2/22,1116,676819,0.037,49,43,4,4,92,0.532608696,0.467391304,,,
ME,10/29/22,471,676819,0.045,55,40,1,4,95,0.578947368,0.421052632,,,
ME,10/15/22,400,676819,0.035,49,39,2,10,88,0.556818182,0.443181818,,,
MD,10/23/22,982,2005223,0.031,58,27,8,7,85,0.682352941,0.317647059,,,
MD,9/27/22,810,2005223,0.04,60,28,3,9,88,0.681818182,0.318181818,,,
MD,9/12/22,748,2005223,0.036,53,31,7,9,84,0.630952381,0.369047619,,,
MA,10/26/22,700,2485796,0.043,61,33,2,4,94,0.64893617,0.35106383,,,
MA,10/25/22,1000,2485796,0.041,59,32,3,6,91,0.648351648,0.351648352,,,
MA,10/16/22,500,2485796,0.044,56,33,4,7,89,0.629213483,0.370786517,,,
MA,10/14/22,987,2485796,0.041,53,23,6,18,76,0.697368421,0.302631579,,,
MI,11/7/22,1097,4461972,0.029,48,49,1,2,97,0.494845361,0.505154639,,,
MI,11/4/22,1603,4461972,0.025,50,47,2,1,97,0.515463918,0.484536082,,,
MI,11/3/22,658,4461972,0.038,50,48,1,1,98,0.510204082,0.489795918,,,
MI,11/2/22,1754,4461972,0.023,51,46,2,1,97,0.525773196,0.474226804,,,
MI,11/1/22,600,4461972,0.04,54,43,1,2,97,0.556701031,0.443298969,,,
MI,10/31/22,1584,4461972,0.025,50,45,3,2,95,0.526315789,0.473684211,,,
MI,10/31/22,1584,4461972,0.025,51,46,3,0,97,0.525773196,0.474226804,,,
MI,10/31/22,1584,4461972,0.025,51,45,2,2,96,0.53125,0.46875,,,
MI,10/30/22,550,4461972,0.042,45,45,5,5,90,0.5,0.5,,,
MI,10/30/22,1137,4461972,0.032,49,47,2,2,96,0.510416667,0.489583333,,,
MI,10/29/22,501,4461972,0.044,48,41,5,6,89,0.539325843,0.460674157,,,
MI,10/29/22,1543,4461972,0.025,51,44,2,3,95,0.536842105,0.463157895,,,
MI,10/28/22,600,4461972,0.04,52,43,3,2,95,0.547368421,0.452631579,,,
MI,10/27/22,1822,4461972,0.023,51,44,3,2,95,0.536842105,0.463157895,,,
MI,10/25/22,1378,4461972,0.026,51,45,3,1,96,0.53125,0.46875,,,
MI,10/23/22,1459,4461972,0.026,50,44,3,3,94,0.531914894,0.468085106,,,
MI,10/21/22,1022,4461972,0.029,48,48,2,2,96,0.5,0.5,,,
MI,10/21/22,1904,4461972,0.023,50,44,3,3,94,0.531914894,0.468085106,,,
MN,10/30/22,836,2510661,0.039,51,43,2,4,94,0.542553191,0.457446809,,,
MN,10/30/22,235,2510661,0.08,56,40,4,0,96,0.583333333,0.416666667,,,
MN,10/19/22,1091,2510661,0.029,45.8,46.3,3.9,4,92.1,0.497285559,0.502714441,,,
MN,10/14/22,1585,2510661,0.026,47,42.4,4.6,6,89.4,0.525727069,0.474272931,,,
MN,10/3/22,604,2510661,0.044,50,40,4,6,90,0.555555556,0.444444444,,,
NE,9/28/22,1340,666795,0.027,41,48,0,11,89,0.460674157,0.539325843,,,
NV,11/7/22,1089,1019071,0.029,46,49,3,2,95,0.484210526,0.515789474,,,
NV,11/6/22,450,1019071,0.046,45,47,3,5,92,0.489130435,0.510869565,,,
NV,11/6/22,1100,1019071,0.03,46,48,6,0,94,0.489361702,0.510638298,,,
NV,11/4/22,550,1019071,0.042,44,49,4,3,93,0.47311828,0.52688172,,,
NV,11/3/22,501,1019071,0.044,43,45,2,10,88,0.488636364,0.511363636,,,
NV,11/2/22,600,1019071,0.04,42,47,0,11,89,0.471910112,0.528089888,,,
NV,10/29/22,2000,1019071,0.021,45,49,0,6,94,0.478723404,0.521276596,,,
NV,10/29/22,2000,1019071,0.021,46,50,0,4,96,0.479166667,0.520833333,,,
NV,10/28/22,500,1019071,0.044,43,43,9,5,86,0.5,0.5,,,
NV,10/27/22,600,1019071,0.04,45,41,5,9,86,0.523255814,0.476744186,,,
NV,10/27/22,500,1019071,0.043,44,45,4,7,89,0.494382022,0.505617978,,,
NV,10/26/22,500,1019071,0.049,44,45,4,7,89,0.494382022,0.505617978,,,
NV,10/26/22,500,1019071,0.049,45,48,0,7,93,0.483870968,0.516129032,,,
NV,10/24/22,1100,1019071,0.029,44,51,3,2,95,0.463157895,0.536842105,,,
NV,10/24/22,885,1019071,0.042,45,49,1,5,94,0.478723404,0.521276596,,,
NV,10/23/22,1052,1019071,0.03,50,45,0,5,95,0.526315789,0.473684211,,,
NV,10/20/22,550,1019071,0.042,43,49,4,4,92,0.467391304,0.532608696,,,
NV,10/19/22,1057,1019071,0.044,48,48,4,0,96,0.5,0.5,,,
NV,10/19/22,819,1019071,0.03,47,48,3,2,95,0.494736842,0.505263158,,,
NV,10/19/22,1000,1019071,0.031,43,41,6,10,84,0.511904762,0.488095238,,,
NV,10/19/22,585,1019071,0.04,47,45,4,4,92,0.510869565,0.489130435,,,
NV,10/17/22,707,1019071,0.04,42,47,7,4,89,0.471910112,0.528089888,,,
NH,11/6/22,1056,626845,0.03,36,58,0,6,94,0.382978723,0.617021277,,,
NH,11/6/22,2077,626845,0.022,43,55,2,0,98,0.43877551,0.56122449,,,
NH,11/5/22,700,626845,0.037,40,56,2,2,96,0.416666667,0.583333333,,,
NH,11/5/22,1995,626845,0.02,40,58,2,0,98,0.408163265,0.591836735,,,
NH,11/5/22,725,626845,0.036,43,53,2,2,96,0.447916667,0.552083333,,,
NH,11/1/22,850,626845,0.033,36,57,4,3,93,0.387096774,0.612903226,,,
NH,11/1/22,850,626845,0.033,37,58,6,-1,95,0.389473684,0.610526316,,,
NH,10/29/22,1541,626845,0.025,37,55,2,6,92,0.402173913,0.597826087,,,
NH,10/26/22,1098,626845,0.032,34,52,5,9,86,0.395348837,0.604651163,,,
NH,10/25/22,600,626845,0.051,35,51,12,2,86,0.406976744,0.593023256,,,
NH,10/23/22,600,626845,0.04,37,54,4,5,91,0.406593407,0.593406593,,,
NH,10/19/22,727,626845,0.036,40,52,3,5,92,0.434782609,0.565217391,,,
NH,10/19/22,727,626845,0.036,41,54,4,1,95,0.431578947,0.568421053,,,
NH,10/19/22,600,626845,0.04,40,57,0,3,97,0.412371134,0.587628866,,,
NH,10/19/22,1392,626845,0.03,40,53,3,4,93,0.430107527,0.569892473,,,
NM,10/28/22,1000,712256,0.03,49,46,2,3,95,0.515789474,0.484210526,,,
NM,10/28/22,1000,712256,0.03,50,48,2,0,98,0.510204082,0.489795918,,,
NM,10/27/22,1254,712256,0.028,50,42,3,5,92,0.543478261,0.456521739,,,
NM,10/26/22,650,712256,0.049,46,39,5,10,85,0.541176471,0.458823529,,,
NM,10/21/22,1077,712256,0.029,46,47,4,3,93,0.494623656,0.505376344,,,
NM,10/7/22,806,712256,0.035,48,40,7,5,88,0.545454545,0.454545455,,,
NY,11/6/22,450,5788802,0.046,49,41,0,10,90,0.544444444,0.455555556,,,
NY,11/6/22,260,5788802,0.06,55,45,0,0,100,0.55,0.45,,,
NY,11/3/22,826,5788802,0.03,49,44,0,7,93,0.52688172,0.47311828,,,
NY,10/31/22,1000,5788802,0.03,52,44,1,3,96,0.541666667,0.458333333,,,
NY,10/31/22,1000,5788802,0.03,54,45,2,-1,99,0.545454545,0.454545455,,,
NY,10/31/22,1198,5788802,0.029,48,48,0,4,96,0.5,0.5,,,
NY,10/29/22,501,5788802,0.044,46,45,3,6,91,0.505494505,0.494505495,,,
NY,10/28/22,818,5788802,0.03,54,42,0,4,96,0.5625,0.4375,,,
NY,10/26/22,1000,5788802,0.031,48,42,0,10,90,0.533333333,0.466666667,,,
NY,10/25/22,593,5788802,0.05,54,43,2,1,97,0.556701031,0.443298969,,,
NY,10/24/22,1000,5788802,0.03,50,44,2,4,94,0.531914894,0.468085106,,,
NY,10/24/22,1000,5788802,0.03,52,44,4,0,96,0.541666667,0.458333333,,,
NY,10/20/22,1204,5788802,0.028,52,37,0,11,89,0.584269663,0.415730337,,,
NY,10/19/22,1056,5788802,0.033,45,46,0,9,91,0.494505495,0.505494505,,,
NY,10/18/22,702,5788802,0.054,47,41,4,8,88,0.534090909,0.465909091,,,
NY,10/16/22,1617,5788802,0.024,50,46,1,3,96,0.520833333,0.479166667,,,
NY,10/14/22,707,5788802,0.049,52,41,1,6,93,0.559139785,0.440860215,,,
OH,11/7/22,716,4134877,0.041,39,53,6,2,92,0.423913043,0.576086957,,,
OH,11/6/22,450,4134877,0.046,37,57,0,6,94,0.393617021,0.606382979,,,
OH,11/6/22,505,4134877,0.043,32,62,5,1,94,0.340425532,0.659574468,,,
OH,11/5/22,1123,4134877,0.029,34,59,0,7,93,0.365591398,0.634408602,,,
OH,11/5/22,1413,4134877,0.03,38,62,0,0,100,0.38,0.62,,,
OH,11/3/22,1498,4134877,0.025,37,56,0,7,93,0.397849462,0.602150538,,,
OH,11/2/22,1125,4134877,0.028,35,58,0,7,93,0.376344086,0.623655914,,,
OH,11/1/22,1000,4134877,0.03,34,55,5,6,89,0.382022472,0.617977528,,,
OH,11/1/22,1520,4134877,0.025,36,56,0,8,92,0.391304348,0.608695652,,,
OH,10/30/22,1510,4134877,0.025,36,56,0,8,92,0.391304348,0.608695652,,,
OH,10/28/22,1776,4134877,0.023,35,56,0,9,91,0.384615385,0.615384615,,,
OH,10/26/22,1817,4134877,0.023,35,56,0,9,91,0.384615385,0.615384615,,,
OH,10/24/22,1886,4134877,0.023,37,55,0,8,92,0.402173913,0.597826087,,,
OH,10/23/22,1068,4134877,0.035,40,57,0,3,97,0.412371134,0.587628866,,,
OH,10/22/22,1547,4134877,0.025,37,55,0,8,92,0.402173913,0.597826087,,,
OH,10/20/22,1141,4134877,0.039,40,53,1,6,93,0.430107527,0.569892473,,,
OH,10/20/22,942,4134877,0.043,41,54,1,4,95,0.431578947,0.568421053,,,
OH,10/20/22,1540,4134877,0.025,37,55,0,8,92,0.402173913,0.597826087,,,
OK,11/6/22,682,1153284,0.038,46,49,2,3,95,0.484210526,0.515789474,,,
OK,11/3/22,729,1153284,0.04,45,42,0,13,87,0.517241379,0.482758621,,,
OK,11/1/22,557,1153284,0.042,40,48,6,6,88,0.454545455,0.545454545,,,
OK,10/31/22,500,1153284,0.044,39,52,0,9,91,0.428571429,0.571428571,,,
OK,10/28/22,501,1153284,0.044,44,45,6,5,89,0.494382022,0.505617978,,,
OK,10/28/22,1000,1153284,0.03,40,49,3,8,89,0.449438202,0.550561798,,,
OK,10/28/22,1000,1153284,0.03,43,52,5,0,95,0.452631579,0.547368421,,,
OK,10/28/22,749,1153284,0.036,48,45,2,5,93,0.516129032,0.483870968,,,
OK,10/28/22,324,1153284,0.05,48,45,5,2,93,0.516129032,0.483870968,,,
OK,10/15/22,500,1153284,0.044,46,45,4,5,91,0.505494505,0.494505495,,,
OK,10/12/22,638,1153284,0.039,49,42,0,9,91,0.538461538,0.461538462,,,
OR,11/6/22,1393,1952883,0.03,48,44,8,0,92,0.52173913,0.47826087,,,
OR,11/1/22,975,1952883,0.031,44,40,9,7,84,0.523809524,0.476190476,,,
OR,11/1/22,975,1952883,0.031,46,41,13,0,87,0.528735632,0.471264368,,,
OR,11/1/22,577,1952883,0.041,43,45,7,5,88,0.488636364,0.511363636,,,
OR,11/1/22,585,1952883,0.04,45,41,10,4,86,0.523255814,0.476744186,,,
OR,10/26/22,741,1952883,0.04,40,38,13,9,78,0.512820513,0.487179487,,,
OR,10/22/22,1161,1952883,0.029,40,42,13,5,82,0.487804878,0.512195122,,,
OR,10/18/22,684,1952883,0.038,35,37,17,11,72,0.486111111,0.513888889,,,
OR,10/18/22,1021,1952883,0.03,42,43,12,3,85,0.494117647,0.505882353,,,
OR,10/18/22,804,1952883,0.043,47,39,9,5,86,0.546511628,0.453488372,,,
OR,10/13/22,800,1952883,0.035,40,38,14,8,78,0.512820513,0.487179487,,,
OR,10/9/22,842,1952883,0.034,38,44,12,6,82,0.463414634,0.536585366,,,
PA,11/6/22,450,5366179,0.046,53,41,2,4,94,0.563829787,0.436170213,,,
PA,11/6/22,631,5366179,0.038,52,46,3,-1,98,0.530612245,0.469387755,,,
PA,11/3/22,750,5366179,0.036,51,43,3,3,94,0.542553191,0.457446809,,,
PA,11/3/22,1097,5366179,0.029,50,45,2,3,95,0.526315789,0.473684211,,,
PA,11/2/22,1180,5366179,0.028,52,40,3,5,92,0.565217391,0.434782609,,,
PA,11/2/22,1152,5366179,0.038,54,39,1,6,93,0.580645161,0.419354839,,,
PA,11/2/22,1021,5366179,0.04,54,40,0,6,94,0.574468085,0.425531915,,,
PA,11/1/22,700,5366179,0.037,52,38,1,9,90,0.577777778,0.422222222,,,
PA,10/31/22,1000,5366179,0.03,50,41,5,4,91,0.549450549,0.450549451,,,
PA,10/31/22,1000,5366179,0.03,53,43,4,0,96,0.552083333,0.447916667,,,
PA,10/30/22,500,5366179,0.044,52,40,1,7,92,0.565217391,0.434782609,,,
PA,10/30/22,1005,5366179,0.03,53,37,4,6,90,0.588888889,0.411111111,,,
RI,10/4/22,800,357670,0.035,46,36,4,14,82,0.56097561,0.43902439,,,
RI,10/2/22,402,357670,0.049,45,32,7,16,77,0.584415584,0.415584416,,,
RI,9/7/22,373,357670,0.061,51,28,0,21,79,0.64556962,0.35443038,,,
SC,9/7/22,600,1703192,0.037,44,50,6,0,94,0.468085106,0.531914894,,,
SC,8/30/22,700,1703192,0.037,42,49,4,5,91,0.461538462,0.538461538,,,
SC,8/28/22,1071,1703192,0.029,43,51,3,3,94,0.457446809,0.542553191,,,
SC,8/25/22,721,1703192,0.037,39,50,1,10,89,0.438202247,0.561797753,,,
SD,10/21/22,1500,350166,0.024,37,56,3,4,93,0.397849462,0.602150538,,,
SD,10/21/22,1500,350166,0.024,39,57,4,0,96,0.40625,0.59375,,,
SD,10/10/22,565,350166,0.04,41,45,0,14,86,0.476744186,0.523255814,,,
TN,7/31/22,549,1739882,0.042,28,52,6,14,80,0.35,0.65,,,
TX,11/5/22,786,8102908,0.035,42,53,2,3,95,0.442105263,0.557894737,,,
TX,10/24/22,1330,8102908,0.029,44,47,7,2,91,0.483516484,0.516483516,,,
TX,10/24/22,973,8102908,0.034,44,50,5,1,94,0.468085106,0.531914894,,,
TX,10/19/22,1000,8102908,0.03,42,52,1,5,94,0.446808511,0.553191489,,,
TX,10/19/22,1000,8102908,0.03,44,53,3,0,97,0.453608247,0.546391753,,,
TX,10/19/22,649,8102908,0.051,43,52,2,3,95,0.452631579,0.547368421,,,
TX,10/19/22,1264,8102908,0.028,45,48,0,7,93,0.483870968,0.516129032,,,
TX,10/18/22,1400,8102908,0.026,42,46,3,9,88,0.477272727,0.522727273,,,
TX,10/17/22,833,8102908,0.033,43,54,3,0,97,0.443298969,0.556701031,,,
TX,10/11/22,791,8102908,0.04,44,52,3,1,96,0.458333333,0.541666667,,,
VT,10/26/22,1039,284801,0.03,24,65,5,6,89,0.269662921,0.730337079,,,
VT,10/3/22,865,284801,0.035,31,48,9,12,79,0.392405063,0.607594937,,,
VT,9/7/22,1072,284801,0.029,15,68,5,12,83,0.180722892,0.819277108,,,
WI,11/7/22,739,2656490,0.037,51,48,1,0,99,0.515151515,0.484848485,,,
WI,11/6/22,450,2656490,0.046,48,48,0,4,96,0.5,0.5,,,
WI,11/5/22,1504,2656490,0.02,48,50,2,0,98,0.489795918,0.510204082,,,
WI,11/4/22,1095,2656490,0.029,48,50,1,1,98,0.489795918,0.510204082,,,
WI,11/1/22,802,2656490,0.046,44,45,8,3,89,0.494382022,0.505617978,,,
WI,11/1/22,679,2656490,0.048,48,48,2,2,96,0.5,0.5,,,
WI,10/31/22,655,2656490,0.048,47,45,2,6,92,0.510869565,0.489130435,,,
WI,10/30/22,1000,2656490,0.03,46,47,3,4,93,0.494623656,0.505376344,,,
WI,10/30/22,1089,2656490,0.032,47,48,2,3,95,0.494736842,0.505263158,,,
WI,10/29/22,1000,2656490,0.03,47,48,3,2,95,0.494736842,0.505263158,,,
WI,10/29/22,1000,2656490,0.03,48,49,3,0,97,0.494845361,0.505154639,,,
WI,10/23/22,801,2656490,0.046,46,50,4,0,96,0.479166667,0.520833333,,,
WI,10/22/22,1376,2656490,0.03,48,49,1,2,97,0.494845361,0.505154639,,,
WI,10/17/22,905,2656490,0.042,50,46,4,0,96,0.520833333,0.479166667,,,
WI,10/17/22,714,2656490,0.045,50,48,1,1,98,0.510204082,0.489795918,,,
WI,10/9/22,801,2656490,0.043,46,41,9,4,87,0.528735632,0.471264368,,,
WI,10/9/22,652,2656490,0.048,47,46,6,1,93,0.505376344,0.494623656,,,
WY,11/3/22,436,194000,0.05,24,76,0,0,100,0.24,0.76,,,
